"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","accuracy","f1","model_type","symbol","threshold","horizon"
"2025-11-10 19:49:04","10.1min","3d03e4f5f95840abbaa558531cae174c","BNBUSDT_LightGBM_OPT","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.53515625","0.6860158311345647","LightGBM_OPT","BNBUSDT","0.05","10"
"2025-11-10 19:48:59","4.5s","7265fafc2d0c491eb64145bd5399bd2f","BNBUSDT_XGBoost_OPT","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.5377604166666666","0.6926406926406926","XGBoost_OPT","BNBUSDT","0.05","10"
"2025-11-10 19:48:55","4.0s","1f6ec4b628434051a03591ee320d0721","BNBUSDT_RandomForest_OPT","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.5846354166666666","0.6076260762607626","RandomForest_OPT","BNBUSDT","0.05","10"
"2025-11-10 19:48:54","1.1s","13d3f12a6f9f444ca52aee2e86675446","BNBUSDT_LightGBM_BASE","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.5872395833333334","0.6434195725534309","LightGBM","BNBUSDT","0.05","10"
"2025-11-10 19:48:53","1.5s","76bbc7e2c6834a1fa1426921db54b3d5","BNBUSDT_XGBoost_BASE","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.6028645833333334","0.6751863684771033","XGBoost","BNBUSDT","0.05","10"
"2025-11-10 19:48:51","1.5s","b43b5193ee07474aa859e2a144b3f400","BNBUSDT_RandomForest_BASE","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.5846354166666666","0.6037267080745342","RandomForest","BNBUSDT","0.05","10"
"2025-11-10 19:48:50","1.5s","435afea5e7cc4963964acb2f08b7079c","BNBUSDT_LogisticRegression_BASE","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.5104166666666666","0.5513126491646778","LogisticRegression","BNBUSDT","0.05","10"
"2025-11-10 19:30:14","11.6min","962023bf94284a2b98c8f33ec18dc2e1","SOLUSDT_LightGBM_OPT","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.5521000893655049","0.6484287317620651","LightGBM_OPT","SOLUSDT","0.01","40"
"2025-11-10 19:30:12","1.8s","fa279972fd8747c8b600330c35161bce","SOLUSDT_XGBoost_OPT","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.5327971403038427","0.6323488045007032","XGBoost_OPT","SOLUSDT","0.01","40"
"2025-11-10 19:30:02","10.0s","c72208d0211047408718e2a33e756ac8","SOLUSDT_RandomForest_OPT","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.5358355674709562","0.6000308024025874","RandomForest_OPT","SOLUSDT","0.01","40"
"2025-11-10 19:30:01","1.2s","e602935e014c49959bf408562b8d7ff0","SOLUSDT_LightGBM_BASE","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.5222520107238606","0.5957961590805988","LightGBM","SOLUSDT","0.01","40"
"2025-11-10 19:29:59","1.5s","925ca2f2a6e841c697db25c78fc6c246","SOLUSDT_XGBoost_BASE","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.5277926720285969","0.6059069212410502","XGBoost","SOLUSDT","0.01","40"
"2025-11-10 19:29:56","3.5s","88d296f253894ad0b667a222ae36024c","SOLUSDT_RandomForest_BASE","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.5222520107238606","0.577391304347826","RandomForest","SOLUSDT","0.01","40"
"2025-11-10 19:29:55","1.1s","4d6ca5f3edb34abe9c4447ef6b8eb44a","SOLUSDT_LogisticRegression_BASE","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.5599642537980339","0.6737344288364696","LogisticRegression","SOLUSDT","0.01","40"
"2025-11-10 19:18:13","11.7min","e754292d22c24888bc27fd3ae6ef00f9","BTCUSDT_LightGBM_OPT","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.5124792013311148","0.6772239052602589","LightGBM_OPT","BTCUSDT","0.01","40"
